July 25, 2011,12:45,MDZhB/МДЖБ,/media/32299/s28-4625usb-20110725-1245z-msg-bywebweasel.ogg,34 307 BIRYuZOVYJ 52 65 90 53,БИРЮЗОВЫЙ,Male voice
July 25, 2011,13:20,MDZhB/МДЖБ,/media/32237/s28-4625usb-20110725-1322z-msg-byavare.ogg ,04 101 BIRUHA 30 30 14 83,БИРУХА,Male voice
July 25, 2011,13:35,MDZhB/МДЖБ,/media/32242/s28-4625usb-20110725-1335z-msg-byavare.ogg ,19 165 ZhIROPOT 31 97 24 58,ЖИРОПОТ,Male voice
July 28, 2011,08:30,MDZhB/МДЖБ,,29 651 GIRLO 92 18 19 37,ГИРЛО,Male voice
July 28, 2011,08:35,MDZhB/МДЖБ,/media/27218/s28-4625usb-20110706-0815zapprox-msg-bywebweasel.ogg ,10 950 CIRKONAT 86 61 17 16,ЦИРКОНАТ,Male voice
July 28, 2011,09:10,MDZhB/МДЖБ,/media/27218/s28-4625usb-20110706-0815zapprox-msg-bywebweasel.ogg ,50 371 PIRITOVIT 48 68 35 87 63 371 PIRITOVIT 48 68 35 87,ПИРИТОВИТ,Male voice Mistake in reading
July 28, 2011,09:12,MDZhB/МДЖБ,/media/27218/s28-4625usb-20110706-0815zapprox-msg-bywebweasel.ogg ,96 331 MIRIKA 24 27 16 10,МИРИКА,Male voice
August 18, 2011,08:10,MDZhB/МДЖБ,/media/33699/s28-4625usb-20110818-0810z-msg-bywebweasel.ogg ,70 017 DIPOMANIYA 88 90 79 04,ДИПОМАНИІА,Male voice
August 18, 2011,08:35,MDZhB/МДЖБ,/media/33704/s28-4625usb-20110818-0835z-msg-bywebweasel.ogg ,73 596 DIPLODOK 08 53 27 73,ДИПЛОДОК,Male voice
August 18, 2011,08:35,MDZhB/МДЖБ,/media/27218/s28-4625usb-20110706-0815zapprox-msg-bywebweasel.ogg ,33 562 BIPLANOVYJ 95 82 02 38,БИПЛАНОВІЙ,Male voice
August 18, 2011,09:06,MDZhB/МДЖБ,/media/33654/s28-4625usb-20110818-0906z-msg-byavare.ogg ,70 831 GIPYeR 99 22 22 91,ГИПЕР,Male voice
August 18, 2011,09:37,MDZhB/МДЖБ,/media/33663/s28-4625usb-20110818-0937z-msg-byavare.ogg ,71 286 GIPYeRSTYeN 51 60 65 09,ГИПЕРСТЕН,Male voice
August 18, 2011,09:37,MDZhB/МДЖБ,/media/33663/s28-4625usb-20110818-0937z-msg-byavare.ogg ,11 982 GIPERYADRO 84 59 13 39,ГИПЕРІАДРО,Male voice
